lang,algorithm,operation,bits,k_per_round,mean_us,ci_us,ci_perc,session_s
python,rsa,keygen,512,20,51202.1000,7920.9600,15.47,3.28
python,rsa,keygen,1024,10,374794.0000,140588.0000,37.51,62.00
python,rsa,keygen,2048,5,2777340.0000,835663.0000,30.09,138.89
python,rsa,encrypt,512,500,13.8043,0.3120,2.26,0.08
python,rsa,encrypt,1024,200,27.2045,0.1265,0.46,0.38
python,rsa,encrypt,2048,100,87.3875,0.5748,0.66,2.65
python,rsa,decrypt,512,500,718.7810,2.9921,0.42,0.42
python,rsa,decrypt,1024,200,3249.2000,19.0137,0.59,1.03
python,rsa,decrypt,2048,100,23312.1000,104.9130,0.45,4.99
python,elgamal,keygen,512,20,193259.0000,93659.4000,48.46,8.12
python,elgamal,keygen,1024,10,1439100.0000,501892.0000,34.88,64.60
python,elgamal,keygen,2048,3,15576200.0000,12358500.0000,79.34,601.088
python,elgamal,encrypt,512,500,1563.4200,19.2042,1.23,1.08
python,elgamal,encrypt,1024,200,6985.8000,46.7354,0.67,3.05
python,elgamal,encrypt,2048,100,47867.4000,264.3520,0.55,34.51
python,elgamal,decrypt,512,500,773.6180,1.9156,0.25,0.70
python,elgamal,decrypt,1024,200,3592.5200,7.7902,0.22,2.38
python,elgamal,decrypt,2048,100,23340.3000,45.0029,0.19,32.00
python,rabin,keygen,512,20,108659.0000,40359.2000,37.14,30.53
python,rabin,keygen,1024,10,559393.0000,251569.0000,44.97,62.32
python,rabin,keygen,2048,3,7217270.0000,78658.6000,1.09,606.353
python,rabin,encrypt,512,500,2.3067,0.0322,1.39,0.16
python,rabin,encrypt,1024,200,4.6931,0.0222,0.47,0.59
python,rabin,encrypt,2048,100,15.1133,0.1269,0.84,10.15
python,rabin,decrypt,512,500,359.1450,3.1591,0.88,0.33
python,rabin,decrypt,1024,200,1594.6600,7.7251,0.48,0.89
python,rabin,decrypt,2048,100,6932.0900,15.1980,0.22,10.83
python,paillier,keygen,512,20,52407.4000,9318.5300,17.78,2.24
python,paillier,keygen,1024,10,385763.0000,103454.0000,26.82,63.61
python,paillier,keygen,2048,5,2811800.0000,860388.0000,30.60,132.42
python,paillier,encrypt,512,500,1711.7200,5.9902,0.35,0.93
python,paillier,encrypt,1024,200,11632.8000,33.4147,0.29,2.73
python,paillier,encrypt,2048,100,84512.0000,30.1478,0.04,43.20
python,paillier,decrypt,512,500,1630.7600,5.0659,0.31,0.89
python,paillier,decrypt,1024,200,11678.7000,21.6511,0.19,2.74
python,paillier,decrypt,2048,100,83445.6000,69.0460,0.08,11.25
python,ss,keygen,512,20,51093.4000,9118.3600,17.85,2.21
python,ss,keygen,1024,10,378718.0000,4410.9900,1.16,62.49
python,ss,keygen,2048,5,2814880.0000,88514.9000,3.14,133.27
python,ss,encrypt,512,500,1751.1000,84.3490,4.82,0.95
python,ss,encrypt,1024,200,11908.5000,967.8680,8.13,2.80
python,ss,encrypt,2048,100,73591.8000,372.1760,0.51,10.19
python,ss,decrypt,512,500,761.0000,1.6920,0.22,0.45
python,ss,decrypt,1024,200,3308.6900,15.8767,0.48,1.05
python,ss,decrypt,2048,100,22862.8000,24.8992,0.11,5.00
python,cocks,keygen,512,20,50859.6000,8873.0000,17.45,2.18
python,cocks,keygen,1024,10,376346.0000,147336.0000,39.15,62.18
python,cocks,keygen,2048,5,2785940.0000,497979.0000,17.87,131.13
python,cocks,encrypt,512,500,742.2500,4.9497,0.67,0.45
python,cocks,encrypt,1024,200,3219.8900,20.5632,0.64,1.04
python,cocks,encrypt,2048,100,23120.7000,272.8510,1.18,5.00
python,cocks,decrypt,512,500,134.1720,2.1546,1.61,0.14
python,cocks,decrypt,1024,200,790.9030,14.9999,1.90,0.56
python,cocks,decrypt,2048,100,3456.4700,12.2063,0.35,3.02
julia,rsa,keygen,512,20,65080.8000,18039.6000,27.72,30.36
julia,rsa,keygen,1024,10,168524.0000,30058.9000,17.84,60.90
julia,rsa,keygen,2048,5,911342.0000,229722.0000,25.21,35.46
julia,rsa,encrypt,512,500,6.4460,1.3112,20.34,0.68
julia,rsa,encrypt,1024,200,8.3522,1.0064,12.05,1.17
julia,rsa,encrypt,2048,100,14.9056,1.0161,6.82,1.00
julia,rsa,decrypt,512,500,634.0540,1686.2800,265.95,0.65
julia,rsa,decrypt,1024,200,1007.8600,1031.9600,102.39,1.11
julia,rsa,decrypt,2048,100,4997.3700,5225.7000,104.57,1.16
julia,elgamal,keygen,512,20,86910.1000,35722.5000,41.10,4.61
julia,elgamal,keygen,1024,10,596082.0000,167980.0000,28.18,60.55
julia,elgamal,keygen,2048,5,1825880.0000,993372.0000,54.41,121.09
julia,elgamal,encrypt,512,500,706.2780,1280.6900,181.33,0.96
julia,elgamal,encrypt,1024,200,2648.2700,5204.2800,196.52,0.84
julia,elgamal,encrypt,2048,100,7559.6200,3490.2100,46.17,12.15
julia,elgamal,decrypt,512,500,223.6120,10.5823,4.73,0.93
julia,elgamal,decrypt,1024,200,1987.4700,5321.4600,267.75,0.85
julia,elgamal,decrypt,2048,100,3832.3600,2935.0000,76.58,11.95
julia,rabin,keygen,512,20,125611.0000,68478.1000,54.52,5.27
julia,rabin,keygen,1024,10,256604.0000,75091.1000,29.26,58.74
julia,rabin,keygen,2048,5,1686890.0000,860297.0000,51.00,121.75
julia,rabin,encrypt,512,500,1.2070,0.1200,9.94,0.79
julia,rabin,encrypt,1024,200,1.6056,0.3186,19.84,1.23
julia,rabin,encrypt,2048,100,3.7804,0.5845,15.46,1.07
julia,rabin,decrypt,512,500,255.2450,8.5945,3.37,0.87
julia,rabin,decrypt,1024,200,1035.4500,1935.7000,186.94,1.29
julia,rabin,decrypt,2048,100,2498.9100,1787.9200,71.55,1.15
julia,paillier,keygen,512,20,63664.4000,14904.0000,23.41,30.06
julia,paillier,keygen,1024,10,166004.0000,27544.7000,16.59,61.03
julia,paillier,keygen,2048,5,892870.0000,92605.4000,10.37,121.66
julia,paillier,encrypt,512,500,408.1820,7.8937,1.93,0.66
julia,paillier,encrypt,1024,200,2157.6100,1938.5500,89.85,1.12
julia,paillier,encrypt,2048,100,10592.0000,5731.1900,54.11,1.48
julia,paillier,decrypt,512,500,362.8460,7.0701,1.95,0.69
julia,paillier,decrypt,1024,200,2193.1100,1999.2000,91.16,1.20
julia,paillier,decrypt,2048,100,10165.9000,5095.5700,50.12,1.34
julia,ss,keygen,512,20,62332.3000,17783.4000,28.53,30.04
julia,ss,keygen,1024,10,163992.0000,27955.6000,17.05,60.15
julia,ss,keygen,2048,5,871015.0000,34053.8000,3.91,120.53
julia,ss,encrypt,512,500,844.1380,1704.7000,201.95,0.72
julia,ss,encrypt,1024,200,2420.5400,2047.7000,84.60,1.12
julia,ss,encrypt,2048,100,11313.4000,5433.7300,48.03,1.51
julia,ss,decrypt,512,500,630.4330,1658.6600,263.10,0.64
julia,ss,decrypt,1024,200,1165.7800,1712.6300,146.91,1.10
julia,ss,decrypt,2048,100,4992.4300,5208.1100,104.32,1.14
julia,cocks,keygen,512,20,63890.8000,16897.1000,26.45,30.07
julia,cocks,keygen,1024,10,165744.0000,25240.0000,15.23,60.36
julia,cocks,keygen,2048,5,1734600.0000,3476420.0000,200.42,102.89
julia,cocks,encrypt,512,500,630.9830,1663.5200,263.64,0.78
julia,cocks,encrypt,1024,200,1188.6600,1828.6700,153.84,1.11
julia,cocks,encrypt,2048,100,5853.5900,7093.7500,121.19,1.22
julia,cocks,decrypt,512,500,857.4440,2940.3300,342.92,0.97
julia,cocks,decrypt,1024,200,1003.7600,31.6780,3.16,3.72
julia,cocks,decrypt,2048,10,664.7300,12.1706,1.83,2.94202
